Car_Name,Aspirational_Value,Age,km_driven,fuel,seller_type,transmission,owner,selling_price
i10,General,8,60000,Petrol,Individual,Manual,Fourth&Above Owner,229999
BMW_320D,Premium,9,75800,Diesel,Dealer,Automatic,Second_Owner,1550000
Q7,Premium,13,78000,Diesel,Dealer,Automatic,Third_Owner,1250000
Elantra_CRDi,General,10,40000,Diesel,Individual,Manual,First_Owner,625000
Scorpio,Premium,8,50000,Diesel,Individual,Manual,First_Owner,1050000
City,General,8,74000,Diesel,Individual,Manual,Second_Owner,560000
WagonR,General,8,64000,Petrol,Individual,Manual,Second_Owner,290000
WagonR,General,10,60000,Petrol,Individual,Manual,Second_Owner,275000
Scorpio,Premium,13,120000,Diesel,Individual,Manual,Second_Owner,411000
Santro,General,13,79000,Petrol,Individual,Manual,Third_Owner,150000
Grand_i10,General,3,15000,Petrol,Individual,Manual,First_Owner,500000
Alto,General,16,80000,Petrol,Individual,Manual,First_Owner,100000
Swift,General,5,18500,Diesel,Dealer,Manual,First_Owner,725000
Eeco,General,4,10200,Petrol,Dealer,Manual,First_Owner,401000
i20,General,4,29000,Diesel,Dealer,Manual,First_Owner,750000
Omni,General,4,28000,Petrol,Dealer,Manual,First_Owner,310000
Swift,General,6,46000,Diesel,Dealer,Manual,First_Owner,665000
i20,General,8,70000,Diesel,Dealer,Manual,First_Owner,465000
Alto,General,10,60000,Petrol,Individual,Manual,Second_Owner,160000
i10,General,8,90000,Diesel,Dealer,Manual,First_Owner,675000
WagonR,General,9,80000,Petrol,Dealer,Manual,First_Owner,300000
Indica,General,17,80000,Diesel,Individual,Manual,First_Owner,70000
EON,General,8,73300,Petrol,Dealer,Manual,Second_Owner,240000
Etios,General,8,92000,Diesel,Dealer,Manual,First_Owner,525000
Alto,General,13,66764,Petrol,Dealer,Manual,Second_Owner,151000
Alto,General,13,100000,Petrol,Individual,Manual,First_Owner,140000
Tavera,General,12,350000,Diesel,Individual,Manual,Second_Owner,280000
Corolla,Premium,11,230000,Diesel,Individual,Manual,First_Owner,350000
Scorpio,Premium,5,60000,Diesel,Individual,Manual,First_Owner,570000
EON,General,4,31000,Petrol,Individual,Manual,First_Owner,300000
Indigo,General,15,39000,Diesel,Individual,Manual,First_Owner,100000
Innova,General,13,120000,Diesel,Individual,Manual,Third_Owner,500000
Indica,General,8,166000,Diesel,Individual,Manual,Fourth&Above Owner,125000
Swift,General,16,110000,Petrol,Individual,Manual,Third_Owner,130000
EcoSport,Premium,5,35000,Diesel,Individual,Manual,First_Owner,925000
Ciaz,General,4,60000,Diesel,Individual,Manual,First_Owner,750000
Civic,Premium,15,54000,Petrol,Individual,Automatic,Second_Owner,200000
i10,General,12,63000,Petrol,Individual,Manual,Second_Owner,248000
Rapid,General,8,120000,Diesel,Individual,Manual,Second_Owner,450000
Getz,General,17,120000,Petrol,Individual,Manual,Third_Owner,80000
Terrano,General,8,76000,Petrol,Individual,Manual,Second_Owner,650000
Grand_i10,General,7,80000,Diesel,Individual,Manual,First_Owner,450000
Elite,General,3,25000,Diesel,Individual,Manual,First_Owner,650000
Amaze,General,6,11958,Petrol,Dealer,Manual,First_Owner,495000
Brio,General,7,20000,Petrol,Dealer,Manual,First_Owner,371000
Creta,Premium,5,9000,Petrol,Dealer,Manual,First_Owner,1025000
S-Class,Premium,5,6500,Diesel,Dealer,Automatic,First_Owner,8150000
XUV500,Premium,7,70000,Diesel,Individual,Manual,First_Owner,750000
Duster,Premium,9,120000,Diesel,Individual,Manual,First_Owner,600000
Santro,General,15,58000,Petrol,Dealer,Manual,Second_Owner,80000
Bolero,General,9,62200,Diesel,Dealer,Manual,First_Owner,325000
A6,Premium,8,34000,Diesel,Dealer,Automatic,Second_Owner,1470000
Avventura,General,7,53000,Diesel,Individual,Manual,Second_Owner,350000
A8,Premium,9,49000,Diesel,Dealer,Automatic,First_Owner,2800000
RediGO,General,5,15000,Petrol,Dealer,Manual,Second_Owner,210000
Jetta,General,9,50000,Petrol,Individual,Manual,First_Owner,450000
A4,Premium,9,53000,Diesel,Dealer,Automatic,First_Owner,1150000
Civic,Premium,13,63500,Petrol,Dealer,Automatic,First_Owner,210000
E-Class,Premium,4,9800,Petrol,Dealer,Automatic,First_Owner,4500000
X1,Premium,5,13000,Diesel,Individual,Automatic,First_Owner,2750000
Volvo_V40,Premium,4,21000,Diesel,Dealer,Automatic,First_Owner,1975000
SX4,General,14,29173,Petrol,Dealer,Manual,First_Owner,175000
Maruti 800,General,10,48000,Diesel,Dealer,Automatic,First_Owner,2500000
Bolero,General,5,120000,Diesel,Individual,Manual,First_Owner,628000
Sonata,General,12,100000,Diesel,Individual,Manual,First_Owner,600000
Micra,General,5,30000,Petrol,Individual,Manual,First_Owner,399000
Xylo,General,4,87000,Diesel,Individual,Manual,First_Owner,750000
Elite,General,3,15000,Petrol,Individual,Manual,First_Owner,750000
KWID,General,5,16000,Petrol,Individual,Manual,First_Owner,315000
Xylo,General,10,60000,Diesel,Individual,Manual,First_Owner,600000
WagonR,General,12,60000,Petrol,Individual,Manual,Fourth&Above Owner,100000
SX4,General,11,110000,Petrol,Individual,Manual,Third_Owner,250000
KWID,General,5,25000,Petrol,Individual,Manual,First_Owner,350000
Creta,Premium,6,60000,Diesel,Individual,Manual,First_Owner,780000
Swift,General,8,79350,Diesel,Individual,Manual,Second_Owner,434000
Verna,General,6,80000,Petrol,Individual,Automatic,First_Owner,690000
Scorpio,Premium,8,90000,Diesel,Individual,Manual,Second_Owner,555000
SX4,General,15,90000,Petrol,Individual,Manual,Second_Owner,120000
Ertiga,General,8,120000,Diesel,Individual,Manual,Second_Owner,500000
Beat,General,9,60000,Diesel,Individual,Manual,Second_Owner,165000
Zen,General,18,50000,Petrol,Individual,Manual,First_Owner,95000
Baleno,General,4,20000,Petrol,Individual,Manual,First_Owner,550000
Swift,General,15,110000,Diesel,Individual,Manual,Fourth&Above Owner,100000
Nano,General,10,50000,Petrol,Individual,Manual,Second_Owner,100000
Innova,General,10,100000,Diesel,Individual,Manual,First_Owner,500000
Ertiga,General,6,70000,Diesel,Individual,Manual,Second_Owner,800000
Creta,Premium,6,70000,Diesel,Individual,Manual,Second_Owner,840000
Amaze,General,6,50000,Petrol,Individual,Manual,First_Owner,490000
Indica,General,12,81000,Diesel,Individual,Manual,Second_Owner,125000
Tavera,General,10,120000,Diesel,Individual,Manual,Third_Owner,400000
Cruze,General,7,3600,Diesel,Dealer,Manual,First_Owner,1000000
Figo,General,7,14272,Petrol,Dealer,Manual,First_Owner,530000
EcoSport,Premium,5,49213,Diesel,Dealer,Manual,First_Owner,840000
i10,General,7,40000,Petrol,Individual,Manual,First_Owner,229999
Maruti 800,General,24,40000,Petrol,Individual,Manual,Fourth&Above Owner,40000
Spark,General,10,80000,Petrol,Individual,Manual,First_Owner,130000
EON,General,7,70000,Petrol,Individual,Manual,First_Owner,200000
Indica,General,11,70000,Diesel,Individual,Manual,First_Owner,120000
Santro,General,19,57000,Petrol,Individual,Manual,First_Owner,75000
Bolt,General,6,120000,Diesel,Individual,Manual,First_Owner,250000
Maruti 800,General,17,30000,Petrol,Individual,Manual,First_Owner,100000
EON,General,9,3240,Petrol,Individual,Manual,Second_Owner,280000
i20,General,7,5000,Petrol,Individual,Manual,First_Owner,540000
i20,General,4,10000,Petrol,Individual,Manual,First_Owner,700000
Ciaz,General,7,100000,Diesel,Individual,Manual,First_Owner,525000
i20,General,6,80000,Diesel,Individual,Manual,First_Owner,430000
Santro,General,20,70000,Petrol,Individual,Manual,First_Owner,65000
Brezza,General,4,35000,Diesel,Individual,Manual,First_Owner,800000
Santro,General,15,114000,Petrol,Individual,Manual,Second_Owner,75000
Getz,General,14,53772,Petrol,Individual,Manual,First_Owner,210000
Quanto,General,10,140000,Diesel,Individual,Manual,Second_Owner,195000
Tavera,General,7,120000,Diesel,Individual,Manual,First_Owner,400000
EON,General,10,60000,Petrol,Individual,Manual,First_Owner,170000
KWID,General,6,25000,Petrol,Individual,Manual,First_Owner,225000
WagonR,General,8,90000,LPG,Individual,Manual,First_Owner,210000
WagonR,General,2,120000,Petrol,Individual,Manual,First_Owner,240000
Enjoy,General,7,175000,Diesel,Individual,Manual,First_Owner,300000
Spark,General,11,100000,Petrol,Individual,Manual,Third_Owner,99000
City,General,8,36000,Petrol,Individual,Manual,First_Owner,620000
Amaze,General,9,30000,Diesel,Individual,Manual,First_Owner,500000
Jaguar,Premium,12,40000,Petrol,Individual,Automatic,Second_Owner,2550000
Jaguar,Premium,9,70000,Petrol,Individual,Manual,Second_Owner,260000
Jaguar,Premium,5,60000,Petrol,Individual,Manual,First_Owner,550000
Jaguar,Premium,11,155500,Diesel,Individual,Manual,First_Owner,150000
Jaguar,Premium,11,50000,Petrol,Individual,Automatic,Second_Owner,350000
Beat,General,6,40000,Petrol,Individual,Manual,First_Owner,320000
Swift,General,7,100000,Diesel,Individual,Manual,Third_Owner,400000
Alto,General,10,80000,Petrol,Individual,Manual,Third_Owner,175000
Beat,General,11,90000,Petrol,Individual,Manual,Second_Owner,120000
Duster,Premium,9,90000,Diesel,Individual,Manual,Second_Owner,320000
Santro,General,16,110000,Petrol,Individual,Manual,Third_Owner,70000
Swift,General,3,15000,Petrol,Individual,Manual,First_Owner,810000
Maruti 800,General,15,100000,Petrol,Individual,Manual,Second_Owner,95000
Alto,General,2,40000,CNG,Individual,Manual,First_Owner,282000
Maruti 800,General,18,60000,Petrol,Individual,Manual,Second_Owner,80000
Nano,General,9,25000,Petrol,Individual,Manual,First_Owner,72000
i20,General,6,25000,Petrol,Individual,Manual,First_Owner,600000
Rapid,General,7,23000,Petrol,Individual,Manual,First_Owner,640000
Alto,General,4,22155,Petrol,Individual,Manual,First_Owner,380000
Ciaz,General,4,70000,Petrol,Individual,Manual,First_Owner,650000
Alto,General,13,60000,Petrol,Individual,Manual,Second_Owner,150000
i20,General,13,110000,Petrol,Individual,Manual,Second_Owner,280000
Nexon,General,4,30000,Petrol,Individual,Manual,First_Owner,430000
Bolero,General,3,15000,Diesel,Individual,Manual,First_Owner,800000
Zen,General,19,100000,Diesel,Individual,Manual,Second_Owner,75000
Vento,General,6,70000,Diesel,Individual,Automatic,First_Owner,650000
Eeco,General,5,24000,Petrol,Individual,Manual,First_Owner,390000
City,General,17,120000,Petrol,Individual,Manual,Second_Owner,100000
Mercedes_C_Class,Premium,9,35000,Diesel,Individual,Automatic,First_Owner,1500000
SX4,General,15,78380,Petrol,Individual,Manual,First_Owner,175000
Duster,Premium,10,110000,Diesel,Individual,Manual,Second_Owner,434999
Figo,General,12,90000,Diesel,Individual,Manual,Third_Owner,170000
Figo,General,11,90000,Diesel,Individual,Manual,Third_Owner,190000
Swift,General,13,150000,Diesel,Individual,Manual,Third_Owner,250000
Xylo,General,13,230000,Diesel,Individual,Manual,Third_Owner,229999
Esteem,General,16,70000,Petrol,Individual,Manual,Third_Owner,140000
Swift,General,5,80362,Diesel,Individual,Manual,First_Owner,600000
i20,General,10,110000,Petrol,Individual,Manual,Third_Owner,280000
Beat,General,10,60000,Diesel,Individual,Manual,First_Owner,150000
Cruze,General,7,50000,Diesel,Individual,Automatic,First_Owner,650000
Micra,General,8,40000,Petrol,Individual,Manual,Second_Owner,210000
BMW_520D,Premium,5,40000,Diesel,Individual,Automatic,First_Owner,2900000
Enjoy,General,9,20000,Diesel,Dealer,Manual,First_Owner,425000
EON,General,8,55000,Petrol,Dealer,Manual,First_Owner,265000
Linea,General,4,1136,Petrol,Dealer,Manual,First_Owner,890000
Scala,General,9,55000,Petrol,Dealer,Manual,First_Owner,365000
Figo,General,8,43000,Petrol,Dealer,Manual,First_Owner,350000
Ciaz,General,6,60000,Diesel,Individual,Manual,First_Owner,685000
Rapid,General,4,2650,Diesel,Dealer,Manual,First_Owner,940000
XUV500,Premium,5,40000,Diesel,Individual,Manual,First_Owner,1000000
XUV300,General,3,15000,Petrol,Dealer,Manual,First_Owner,1150000
Ertiga,General,6,115962,Diesel,Individual,Manual,Second_Owner,450000
Terrano,General,7,65000,Diesel,Dealer,Manual,First_Owner,590000
S-Cross,General,5,40000,Diesel,Individual,Manual,First_Owner,800000
i20,General,10,58000,Diesel,Dealer,Manual,First_Owner,385000
Mercedes_C_Class,Premium,9,15000,Diesel,Individual,Automatic,First_Owner,2000000
EON,General,10,54000,Petrol,Dealer,Manual,First_Owner,235000
Ameo,General,5,56000,Diesel,Dealer,Manual,First_Owner,640000
Alto,General,16,120000,Petrol,Individual,Manual,Third_Owner,52000
Omni,General,13,90000,LPG,Individual,Manual,Second_Owner,80000
Alto,General,10,70000,Petrol,Individual,Manual,Second_Owner,140000
Verna,General,14,90000,Petrol,Individual,Manual,Second_Owner,120000
Renault,General,14,213000,Diesel,Individual,Manual,First_Owner,89999
Optra,General,10,120000,Diesel,Individual,Manual,First_Owner,180000
Scorpio,Premium,5,20000,Diesel,Individual,Manual,First_Owner,1500000
i20,General,5,10000,Petrol,Individual,Manual,First_Owner,700000
SX4,General,10,80000,Diesel,Individual,Manual,Second_Owner,285000
Grand_i10,General,7,90000,Petrol,Individual,Manual,First_Owner,390000
Alto,General,14,80000,Petrol,Individual,Manual,First_Owner,125000
SX4,General,14,60000,Petrol,Individual,Manual,Second_Owner,225000
i10,General,11,139000,Petrol,Individual,Manual,Second_Owner,175000
Innova,General,11,160000,Diesel,Individual,Manual,Second_Owner,1075000
Mobilio,General,8,150000,Diesel,Individual,Manual,First_Owner,300000
Innova,General,12,163000,Diesel,Individual,Manual,Fourth&Above Owner,700000
Indica,General,13,120000,Diesel,Dealer,Manual,First_Owner,90000
Indica,General,11,120000,Diesel,Individual,Manual,Second_Owner,120000
Beat,General,10,100000,Diesel,Individual,Manual,Second_Owner,220000
Zest,General,7,140000,Diesel,Dealer,Manual,First_Owner,300000
Fabia,General,12,87000,Diesel,Dealer,Manual,Second_Owner,180000
Maruti 800,General,9,70000,Petrol,Individual,Manual,First_Owner,170000
Figo,General,7,50000,Petrol,Individual,Manual,Second_Owner,300000
Innova,General,8,70000,Diesel,Individual,Manual,First_Owner,1050000
Mobilio,General,8,150000,Diesel,Individual,Manual,First_Owner,300000
Grand_i10,General,4,25000,Diesel,Individual,Manual,First_Owner,465000
Beat,General,11,80000,Diesel,Individual,Manual,Second_Owner,130000
GO,General,4,10000,Petrol,Individual,Manual,First_Owner,434999
Grand_i10,General,4,32000,Petrol,Individual,Manual,First_Owner,500000
Omni,General,4,10000,Petrol,Individual,Manual,First_Owner,200000
Baleno,General,5,52000,Petrol,Dealer,Manual,First_Owner,625000
Fiesta,General,16,120000,Diesel,Individual,Manual,Third_Owner,110000
Elite,General,3,11240,Petrol,Individual,Manual,First_Owner,800000
Grand_i10,General,5,66000,Diesel,Dealer,Manual,First_Owner,490000
Ertiga,General,5,64000,Diesel,Dealer,Manual,First_Owner,880000
Santro,General,9,49000,Petrol,Individual,Manual,First_Owner,290000
Sumo,General,16,100000,Diesel,Individual,Manual,Second_Owner,115999
KWID,General,4,26500,Petrol,Individual,Manual,First_Owner,360000
Maruti 800,General,20,100000,Petrol,Individual,Manual,Second_Owner,65000
Brezza,General,5,72000,Diesel,Dealer,Manual,First_Owner,685000
Jazz,General,13,50000,Petrol,Individual,Manual,First_Owner,300000
i20,General,5,44000,Diesel,Dealer,Manual,First_Owner,680000
Ertiga,General,5,60000,Diesel,Individual,Manual,Second_Owner,1000000
Sumo,General,20,120000,Diesel,Individual,Manual,First_Owner,100000
Xylo,General,12,130000,Diesel,Individual,Manual,First_Owner,160000
Swift,General,5,70000,Diesel,Individual,Manual,First_Owner,450000
Ertiga,General,8,20000,Petrol,Individual,Manual,First_Owner,600000
i20,General,13,60000,Diesel,Individual,Manual,Second_Owner,180000
Alto,General,15,195000,Petrol,Individual,Manual,First_Owner,100000
Alto,General,12,90000,Petrol,Individual,Manual,Second_Owner,120000
Getz,General,16,80000,Petrol,Individual,Manual,Third_Owner,130000
WagonR,General,11,155000,Petrol,Individual,Manual,First_Owner,160000
Bolero,General,3,35000,Diesel,Individual,Manual,First_Owner,860000
i20,General,4,20000,Petrol,Individual,Manual,Second_Owner,650000
WagonR,General,12,80000,Petrol,Individual,Manual,Second_Owner,100000
Alto,General,5,20000,Petrol,Individual,Manual,First_Owner,282000
i20,General,13,50000,Petrol,Individual,Manual,First_Owner,300000
i20,General,12,110000,Petrol,Individual,Manual,Second_Owner,270000
Verna,General,9,29000,Diesel,Individual,Manual,First_Owner,550000
Xylo,General,9,120000,Diesel,Individual,Manual,First_Owner,450000
Bolero,General,11,70000,Diesel,Individual,Manual,Second_Owner,430000
Ertiga,General,9,40000,Petrol,Individual,Manual,First_Owner,350000
Brio,General,5,20000,Petrol,Individual,Manual,First_Owner,350000
Etios,General,9,50000,Petrol,Individual,Manual,Second_Owner,229999
Alto,General,9,50000,Petrol,Individual,Manual,First_Owner,110000
Swift,General,10,49000,Petrol,Individual,Manual,Second_Owner,395000
Scorpio,Premium,11,70000,Diesel,Individual,Automatic,Second_Owner,650000
Bolero,General,11,90000,Diesel,Individual,Manual,Second_Owner,350000
XUV500,Premium,2,25000,Diesel,Dealer,Manual,First_Owner,1400000
Tiago,General,4,4000,Petrol,Individual,Manual,First_Owner,360000
Marazzo,General,4,10000,Diesel,Individual,Manual,First_Owner,1300000
Duster,Premium,7,15000,Diesel,Individual,Manual,First_Owner,800000
EON,General,4,30000,Petrol,Individual,Manual,First_Owner,229999
WagonR,General,8,41000,Petrol,Dealer,Manual,First_Owner,315000
Spark,General,10,28000,Petrol,Individual,Manual,First_Owner,125000
Baleno,General,3,16000,Petrol,Individual,Manual,First_Owner,700000
EON,General,7,70000,Petrol,Individual,Manual,First_Owner,160000
Figo,General,5,10832,Petrol,Dealer,Manual,First_Owner,530000
Figo,General,4,14681,Diesel,Dealer,Manual,First_Owner,624000
i10,General,13,50000,Petrol,Individual,Manual,First_Owner,250000
Bolero,General,6,51000,Diesel,Dealer,Manual,First_Owner,585000
Verna,General,7,25000,Petrol,Individual,Manual,First_Owner,500000
Sail,General,8,30000,Petrol,Individual,Manual,First_Owner,350000
City,General,8,80000,Diesel,Dealer,Manual,First_Owner,495000
Grand_i10,General,5,50000,Petrol,Individual,Manual,First_Owner,500000
Bolero,General,7,200000,Diesel,Individual,Manual,First_Owner,430000
Grand_i10,General,9,44000,Petrol,Dealer,Manual,First_Owner,345000
Baleno,General,7,10000,Petrol,Individual,Manual,First_Owner,500000
Tiago,General,3,19600,Petrol,Individual,Manual,First_Owner,425000
WagonR,General,17,40000,Petrol,Individual,Manual,Second_Owner,80000
Beat,General,11,50000,Diesel,Individual,Manual,First_Owner,106000
A-Star,General,13,46730,Petrol,Individual,Manual,First_Owner,180000
GO,General,7,40000,Petrol,Individual,Manual,Second_Owner,250000
Yeti,Premium,11,80000,Diesel,Individual,Manual,First_Owner,350000
Zen,General,20,80000,Petrol,Individual,Manual,Second_Owner,60000
Verna,General,4,24000,Diesel,Individual,Manual,First_Owner,900000
Aspire,General,5,21170,Diesel,Dealer,Manual,First_Owner,700000
BMW_320D,Premium,9,167223,Diesel,Dealer,Automatic,First_Owner,2000000
Ertiga,General,5,40000,Diesel,Individual,Manual,First_Owner,1000000
X1,Premium,11,60000,Diesel,Individual,Automatic,First_Owner,1375000
Innova,General,6,141440,Diesel,Dealer,Manual,First_Owner,1800000
Tavera,General,15,120000,Diesel,Individual,Manual,Third_Owner,160000
Outlander,Premium,10,140000,Petrol,Individual,Automatic,First_Owner,525000
XUV500,Premium,10,212814,Diesel,Dealer,Manual,First_Owner,850000
Baleno,General,3,30000,Diesel,Individual,Manual,First_Owner,800000
Figo,General,5,88635,Diesel,Dealer,Manual,First_Owner,700000
Swift,General,4,25000,Diesel,Individual,Manual,First_Owner,800000
i20,General,5,20000,Petrol,Individual,Manual,Second_Owner,575000
Duster,Premium,10,110000,Diesel,Individual,Manual,Second_Owner,350000
Swift,General,14,120000,Diesel,Individual,Manual,Third_Owner,250000
Endeavour,Premium,11,149674,Diesel,Dealer,Manual,Second_Owner,600000
Scorpio,Premium,15,100000,Diesel,Individual,Manual,Third_Owner,370000
Baleno,General,16,120000,Petrol,Individual,Manual,Third_Owner,80000
Indica,General,19,120000,Diesel,Individual,Manual,Second_Owner,50000
Verna,General,4,25000,Diesel,Individual,Manual,First_Owner,900000
WagonR,General,8,35000,Petrol,Individual,Manual,Second_Owner,300000
Indica,General,20,40000,Petrol,Individual,Manual,First_Owner,125000
Swift,General,7,60000,Diesel,Individual,Manual,Second_Owner,490000
Etios,General,10,50000,Diesel,Individual,Manual,Second_Owner,300000
Nano,General,9,25000,Petrol,Individual,Manual,Fourth&Above Owner,55000
Grand_i10,General,6,25000,Petrol,Individual,Manual,First_Owner,350000
Grand_i10,General,3,8000,Diesel,Individual,Manual,First_Owner,755000
Ertiga,General,5,60000,Diesel,Individual,Manual,First_Owner,720000
Bolero,General,16,200000,Diesel,Individual,Manual,Third_Owner,229999
Scorpio,Premium,4,20000,Diesel,Individual,Manual,First_Owner,1100000
Polo,Premium,9,100000,Petrol,Individual,Manual,First_Owner,400000
Xcent,General,7,70000,Diesel,Individual,Manual,Second_Owner,350000
Beat,General,10,68000,Diesel,Dealer,Manual,First_Owner,159000
Swift,General,5,38000,Petrol,Dealer,Manual,First_Owner,550000
Ritz,General,9,80000,Diesel,Dealer,Manual,First_Owner,335000
Indigo,General,8,72000,CNG,Dealer,Manual,First_Owner,185000
Eeco,General,10,75000,CNG,Dealer,Manual,First_Owner,229999
Estilo,General,8,43000,Petrol,Dealer,Manual,First_Owner,225000
Swift,General,15,120000,Petrol,Individual,Manual,Second_Owner,250000
Zest,General,7,100000,Diesel,Individual,Manual,First_Owner,400000
Swift,General,8,163000,Diesel,Individual,Manual,First_Owner,470000
Alto,General,4,25000,Petrol,Individual,Automatic,First_Owner,300000
Alto,General,11,25000,Petrol,Individual,Manual,First_Owner,145000
SX4,General,15,90000,Petrol,Individual,Manual,Second_Owner,100000
Scorpio,Premium,8,70000,Diesel,Individual,Manual,Second_Owner,500000
Santro,General,12,98000,CNG,Individual,Manual,Second_Owner,130000
Cruze,General,12,81925,Diesel,Individual,Manual,First_Owner,240000
Figo,General,9,80000,Diesel,Individual,Manual,Second_Owner,150000
KWID,General,5,40000,Petrol,Individual,Manual,First_Owner,270000
Swift,General,8,90000,Diesel,Individual,Manual,First_Owner,400000
EON,General,10,46000,Petrol,Individual,Manual,First_Owner,200000
XUV500,Premium,10,80000,Diesel,Individual,Manual,First_Owner,550000
KWID,General,4,35000,Petrol,Individual,Manual,First_Owner,325000
Rapid,General,5,82080,Diesel,Individual,Automatic,First_Owner,860000
XUV500,Premium,10,200000,Diesel,Individual,Manual,First_Owner,600000
Spark,General,13,70000,Petrol,Individual,Manual,First_Owner,125000
Maruti 800,General,22,40000,Petrol,Individual,Manual,Third_Owner,60000
Tavera,General,12,120000,Diesel,Individual,Manual,Third_Owner,300000
Fiesta,General,15,60000,Petrol,Individual,Manual,Third_Owner,190000
Ertiga,General,9,110000,Diesel,Individual,Manual,First_Owner,400000
Manza,General,11,97000,Diesel,Individual,Manual,Second_Owner,260000
Swift,General,5,30000,Petrol,Individual,Manual,First_Owner,400000
i20,General,12,40000,Petrol,Individual,Manual,First_Owner,250000
Grand_i10,General,3,10000,Petrol,Individual,Manual,First_Owner,600000
Zen,General,12,52047,Petrol,Individual,Manual,First_Owner,175000
Innova,General,11,200000,Diesel,Individual,Manual,Third_Owner,450000
Tiago,General,3,15000,Petrol,Individual,Automatic,Second_Owner,350000
Brezza,General,4,50000,Diesel,Individual,Manual,First_Owner,800000
Swift,General,11,70000,Petrol,Individual,Manual,Second_Owner,250000
Swift,General,3,10000,Petrol,Individual,Manual,First_Owner,600000
Swift,General,5,90000,Diesel,Individual,Manual,First_Owner,600000
Alto,General,6,40000,Petrol,Individual,Manual,First_Owner,130000
WagonR,General,16,62009,Petrol,Individual,Manual,Second_Owner,90000
i20,General,5,33100,Petrol,Individual,Manual,Second_Owner,595000
EON,General,8,40000,Petrol,Individual,Manual,Second_Owner,190000
Santro,General,23,120000,Petrol,Individual,Manual,Second_Owner,50000
WagonR,General,15,80000,Petrol,Individual,Manual,First_Owner,95000
Safari,Premium,6,70000,Diesel,Individual,Manual,First_Owner,1000000
Scorpio,Premium,16,220000,Petrol,Individual,Manual,Second_Owner,220000
Bolero,General,12,50000,Diesel,Individual,Manual,First_Owner,400000
GO,General,7,45000,Petrol,Individual,Manual,Second_Owner,315000
Fortuner,Premium,8,110000,Diesel,Individual,Manual,First_Owner,1000000
Ecosport,Premium,8,49000,Diesel,Individual,Manual,First_Owner,500000
