,Cust_ID,Age,duration,Min_balance,spend_per_month,job,marital,education,dbscan_labels
40,1050,41,121,692,14568,blue-collar,married,basic.9y,1
41,1051,40,64,327,18445,admin.,married,high.school,1
42,1052,39,266,53461,37577,housemaid,married,basic.4y,0
43,1053,32,95,700,11170,admin.,married,high.school,1
44,1054,28,60,1613,17423,admin.,single,professional.course,3
45,1055,55,269,61839,10100,blue-collar,married,basic.4y,0
46,1056,36,115,3219,15458,technician,married,professional.course,1
47,1057,21,90,3159,22310,management,married,university.degree,1
48,1058,33,25,2155,19172,services,married,high.school,1
49,1059,55,145,53863,49120,unemployed,married,professional.course,0
50,1060,25,174,43412,14409,technician,single,university.degree,0
51,1061,47,449,42958,44578,entrepreneur,married,university.degree,0
52,1062,51,812,53584,13401,blue-collar,married,basic.9y,0
53,1063,42,164,60658,44093,blue-collar,married,basic.6y,0
54,1064,41,109,3879,23717,blue-collar,married,basic.6y,1
55,1065,33,118,3776,17492,admin.,married,high.school,1
56,1066,37,232,52484,27223,admin.,married,university.degree,0
57,1067,44,64,3899,18160,blue-collar,single,basic.9y,2
58,1069,36,28,1706,18412,admin.,married,basic.9y,1
59,1070,44,177,61739,14760,blue-collar,single,basic.4y,0
60,1071,41,200,41767,43981,management,married,basic.6y,0
61,1072,44,172,65127,30759,management,divorced,university.degree,0
62,1073,22,142,1892,11966,admin.,married,university.degree,1
63,1075,37,214,52211,22132,admin.,married,university.degree,0
64,1076,22,135,2228,24472,blue-collar,divorced,basic.4y,4
65,1077,33,29,1896,16979,technician,married,university.degree,1
66,1078,33,337,43011,31818,services,married,high.school,0
67,1080,42,208,66296,12334,blue-collar,married,basic.9y,0
68,1081,50,193,55139,30450,blue-collar,married,basic.4y,0
69,1082,36,150,3058,12330,blue-collar,married,basic.4y,1
70,1083,35,122,3437,16009,admin.,married,high.school,1
71,1084,49,1042,61412,25558,entrepreneur,married,university.degree,0
72,1085,43,90,2980,11906,technician,single,university.degree,3
73,1086,31,246,42232,46760,admin.,divorced,high.school,0
74,1087,41,529,49571,28242,management,married,basic.6y,0
75,1088,22,76,138,22848,admin.,married,university.degree,1
76,1089,23,48,891,19474,technician,married,basic.9y,1
77,1090,28,77,327,15363,admin.,married,high.school,1
78,1091,37,105,3160,22234,admin.,married,university.degree,1
79,1094,32,39,1904,14897,unemployed,married,basic.9y,1
80,1095,42,583,44237,16832,blue-collar,married,basic.6y,0
81,1096,25,32,3956,15013,services,married,professional.course,1
82,1097,42,426,40240,12581,management,married,university.degree,0
83,1098,33,101,1241,19082,admin.,divorced,university.degree,4
84,1099,37,197,54913,12971,technician,single,professional.course,0
85,1100,26,28,929,21104,blue-collar,married,basic.6y,1
86,1102,49,55,63561,6402,blue-collar,married,basic.4y,0
87,1104,52,197,51834,35680,admin.,divorced,university.degree,0
88,1105,52,190,57368,38771,admin.,divorced,university.degree,0
89,1106,43,21,59955,28357,services,single,high.school,0
90,1107,30,41,1894,20937,housemaid,married,basic.6y,1
91,1108,22,33,3812,16460,admin.,married,high.school,1
92,1111,60,514,43150,7023,retired,divorced,university.degree,0
93,1112,43,72,1588,18705,unemployed,married,basic.4y,1
94,1113,29,98,3594,17979,services,divorced,high.school,4
95,1114,34,108,2761,13110,blue-collar,married,basic.9y,1
96,1115,25,148,2990,14066,management,married,university.degree,1
97,1116,41,67,2318,16936,blue-collar,married,high.school,1
98,1117,52,247,55975,47607,admin.,divorced,university.degree,0
99,1120,26,75,3872,23349,blue-collar,divorced,basic.4y,4
100,1121,29,102,3555,22613,blue-collar,married,high.school,1
101,1122,49,439,65552,30805,blue-collar,divorced,high.school,0
102,1123,41,139,63293,38271,services,married,high.school,0
103,1124,45,79,55158,44080,technician,married,high.school,0
104,1125,32,175,58825,48580,admin.,married,university.degree,0
105,1126,23,86,510,13616,admin.,married,university.degree,1
106,1127,50,61,57154,23876,admin.,married,basic.6y,0
107,1128,21,148,3791,20908,technician,divorced,professional.course,4
108,1129,44,131,46,12351,retired,married,basic.4y,1
109,1130,28,75,841,23440,technician,married,professional.course,1
110,1131,37,143,61395,41656,blue-collar,married,basic.6y,0
111,1132,43,106,1233,23267,technician,married,professional.course,1
112,1134,29,77,1505,12930,blue-collar,married,basic.6y,1
113,1135,38,101,263,12028,management,married,university.degree,1
114,1136,21,52,2872,20583,management,divorced,university.degree,4
115,1137,39,69,68136,20422,housemaid,married,basic.4y,0
116,1138,44,97,3310,14608,blue-collar,married,basic.4y,1
117,1139,44,143,2694,16834,services,married,high.school,1
118,1140,34,144,742,14354,blue-collar,married,basic.9y,1
119,1141,43,240,54093,32293,unemployed,single,university.degree,0
120,1143,43,124,3815,13017,management,married,university.degree,1
121,1144,28,135,2871,17219,blue-collar,married,basic.4y,1
122,1146,42,528,63742,22548,blue-collar,married,basic.4y,0
123,1147,42,541,55516,8180,blue-collar,married,basic.4y,0
124,1148,35,338,52952,12002,admin.,single,high.school,0
125,1149,40,163,48786,10153,admin.,married,university.degree,0
126,1150,51,87,54640,22043,blue-collar,married,basic.4y,0
127,1151,32,63,823,18829,blue-collar,married,basic.9y,1
128,1153,31,65,583,23542,services,divorced,high.school,4
129,1156,23,100,653,16165,blue-collar,married,basic.9y,1
130,1159,42,53,1158,22070,technician,single,professional.course,3
131,1160,59,579,42240,10009,services,married,high.school,0
132,1161,25,148,2944,11977,management,single,university.degree,3
133,1162,26,63,381,20200,blue-collar,single,basic.9y,2
134,1163,31,150,3018,12532,blue-collar,married,basic.9y,1
135,1164,34,93,2342,24605,blue-collar,married,basic.9y,1
136,1165,39,2033,54644,22095,services,divorced,high.school,0
137,1166,30,28,3871,11895,entrepreneur,married,basic.6y,1
138,1167,38,506,46526,19037,services,married,high.school,0
139,1170,30,84,366,17459,management,divorced,university.degree,4
140,1171,43,181,55895,14868,blue-collar,married,high.school,0
141,1172,36,427,69405,28930,services,married,high.school,0
142,1173,30,119,3173,23882,technician,married,university.degree,1
143,1174,26,85,2203,14365,admin.,single,university.degree,3
144,1175,42,150,2643,15757,services,married,high.school,1
145,1176,46,128,55401,12414,management,married,basic.9y,0
146,1177,24,53,2098,21463,services,married,high.school,1
147,1178,51,303,55718,34210,admin.,single,basic.6y,0
148,1179,37,105,3968,18445,services,married,high.school,1
149,1180,26,32,1349,23371,blue-collar,married,basic.9y,1
150,1181,41,38,1547,13986,technician,married,high.school,1
151,1182,46,240,65589,27034,blue-collar,married,basic.6y,0
152,1183,40,108,3693,13806,blue-collar,married,basic.9y,1
153,1184,29,35,3358,19579,admin.,married,university.degree,1
154,1185,42,99,196,15024,blue-collar,married,basic.4y,1
155,1186,57,461,49418,11540,management,married,university.degree,0
156,1187,28,107,1242,20481,technician,married,basic.6y,1
157,1188,54,130,57501,39212,retired,married,high.school,0
158,1189,49,252,46044,44956,blue-collar,married,basic.4y,0
159,1190,34,138,47641,28942,admin.,married,university.degree,0
160,1191,41,412,53361,30889,technician,married,professional.course,0
161,1192,38,179,52270,24651,blue-collar,single,basic.9y,0
162,1193,32,60,495,14328,management,divorced,university.degree,4
163,1194,42,228,60627,21871,technician,married,university.degree,0
164,1195,34,55,41938,34131,blue-collar,single,basic.9y,0
165,1196,28,49,2175,23306,blue-collar,married,basic.4y,1
166,1197,37,313,69111,15130,admin.,married,high.school,0
167,1198,34,289,62035,24216,blue-collar,single,basic.9y,0
168,1199,21,72,1383,13199,admin.,married,basic.9y,1
169,1200,43,1077,51242,13517,blue-collar,married,basic.6y,0
170,1201,40,148,3365,16880,services,married,high.school,1
171,1202,36,56,3847,19883,services,single,basic.6y,2
172,1203,45,40,2272,19267,blue-collar,married,high.school,1
173,1205,44,172,64607,42167,blue-collar,married,basic.9y,0
174,1206,26,76,1942,22384,student,single,university.degree,3
175,1207,35,217,44759,44549,student,single,university.degree,0
176,1208,35,67,69628,38706,unemployed,married,professional.course,0
177,1209,36,291,58884,20860,services,single,basic.4y,0
178,1210,30,121,246,22220,student,single,university.degree,3
179,1211,41,100,380,21205,student,single,basic.9y,2
180,1212,55,286,51030,13047,housemaid,divorced,university.degree,0
181,1213,40,65,1310,16795,admin.,married,university.degree,1
182,1215,35,34,2748,17115,blue-collar,married,professional.course,1
183,1216,39,381,60565,16689,housemaid,married,basic.4y,0
184,1219,50,287,64503,32651,housemaid,married,basic.4y,0
185,1220,40,322,64170,10623,services,married,high.school,0
186,1221,35,216,63364,45554,admin.,married,high.school,0
187,1223,38,146,3983,12909,services,single,basic.6y,2
188,1224,46,288,49013,21109,technician,married,basic.4y,0
189,1225,40,168,54748,17373,technician,married,basic.9y,0
190,1226,31,25,1139,16565,retired,married,university.degree,1
191,1227,42,64,47502,18792,technician,married,university.degree,0
192,1228,41,42,2253,20093,admin.,single,university.degree,3
193,1229,21,86,961,22173,retired,married,basic.4y,1
194,1230,32,105,2792,11042,blue-collar,married,basic.4y,1
195,1231,39,580,42322,13754,admin.,married,professional.course,0
196,1232,50,165,50939,8530,services,divorced,professional.course,0
197,1233,43,106,2795,19705,management,divorced,basic.4y,4
198,1234,23,100,541,22580,admin.,married,high.school,1
199,1235,52,175,59421,13692,self-employed,married,university.degree,0
200,1236,26,149,1954,21494,admin.,married,professional.course,1
201,1237,56,136,61440,26909,blue-collar,married,basic.4y,0
202,1238,21,91,183,24593,admin.,married,high.school,1
203,1239,33,189,48051,8028,services,married,high.school,0
204,1240,43,213,45600,46017,management,married,university.degree,0
205,1241,57,238,46856,44008,retired,married,high.school,0
206,1242,36,124,62309,25814,technician,single,professional.course,0
207,1243,39,78,2950,13914,management,married,university.degree,1
208,1244,34,730,52800,30875,services,single,basic.9y,0
209,1245,30,40,41863,41473,technician,married,university.degree,0
210,1247,35,105,17,11970,technician,single,professional.course,3
211,1248,36,142,56867,14637,technician,single,high.school,0
212,1249,36,389,41751,25800,blue-collar,single,high.school,0
213,1250,33,702,46810,13256,services,single,high.school,0
214,1251,34,138,2585,23262,technician,divorced,professional.course,4
215,1252,26,29,1528,11440,blue-collar,married,basic.4y,1
216,1253,51,117,40983,23531,services,married,basic.6y,0
217,1254,33,104,495,23538,technician,married,professional.course,1
218,1256,53,370,67135,30661,services,married,high.school,0
219,1257,34,85,2863,24933,blue-collar,married,basic.9y,1
220,1258,45,46,61149,15309,management,married,basic.9y,0
221,1260,26,98,1685,21925,admin.,married,high.school,1
222,1261,43,138,1040,24159,admin.,married,high.school,1
223,1262,27,119,45014,22071,blue-collar,single,basic.6y,0
224,1263,27,25,3773,15353,technician,married,high.school,1
225,1264,43,73,61168,20754,admin.,divorced,basic.9y,0
226,1265,42,67,48984,34991,admin.,married,university.degree,0
227,1266,27,350,46526,17214,blue-collar,single,basic.6y,0
228,1267,34,150,56990,19628,self-employed,single,university.degree,0
229,1268,39,103,70,21492,student,single,university.degree,3
230,1269,54,611,52756,15628,management,divorced,university.degree,0
231,1270,21,47,2672,18609,self-employed,married,basic.4y,1
232,1271,35,93,2715,23639,unemployed,married,high.school,1
233,1272,43,105,856,12116,management,divorced,university.degree,4
234,1273,49,152,49958,18814,housemaid,married,basic.9y,0
235,1274,32,611,63475,33716,admin.,single,high.school,0
236,1275,49,110,61045,41020,housemaid,single,high.school,0
237,1276,50,463,46174,9066,blue-collar,married,basic.9y,0
238,1277,39,84,3894,20256,services,married,high.school,1
239,1278,55,102,62710,33762,blue-collar,married,basic.4y,0
240,1279,47,10,43685,10827,technician,single,basic.9y,0
241,1280,31,106,2892,18825,retired,married,professional.course,1
242,1281,39,59,1535,12415,blue-collar,married,basic.6y,1
243,1282,56,143,40398,43496,technician,married,basic.4y,0
244,1283,53,189,61132,19078,admin.,married,basic.9y,0
245,1284,44,57,2161,22037,blue-collar,married,basic.9y,1
246,1285,42,189,62597,14910,blue-collar,divorced,basic.9y,0
247,1286,40,96,3324,14229,blue-collar,divorced,basic.6y,4
248,1287,30,74,3439,11767,housemaid,married,basic.9y,1
249,1288,35,71,51,19781,admin.,single,high.school,2
250,1290,36,225,47321,10603,services,married,high.school,0
251,1291,42,125,67422,8184,management,divorced,university.degree,0
252,1292,31,286,45666,10091,admin.,married,high.school,0
253,1293,53,206,61616,45388,technician,divorced,professional.course,0
254,1294,25,58,2841,15418,blue-collar,married,basic.4y,1
255,1295,37,98,61227,12397,technician,single,professional.course,0
256,1296,29,71,1462,19551,self-employed,married,professional.course,1
257,1297,41,145,1421,18517,blue-collar,divorced,high.school,4
258,1298,22,60,738,23042,admin.,married,university.degree,1
259,1299,30,39,2002,21049,services,divorced,high.school,4
260,1301,32,149,319,12507,services,single,high.school,2
261,1302,45,122,1387,18967,blue-collar,divorced,high.school,4
262,1303,36,28,2743,11157,retired,married,professional.course,1
263,1305,40,104,2155,13071,admin.,married,high.school,1
264,1306,40,215,52538,27815,admin.,married,basic.6y,0
265,1308,42,63,3615,18906,housemaid,divorced,basic.4y,4
266,1309,21,45,1578,12500,admin.,married,university.degree,1
267,1310,41,83,47380,31827,blue-collar,married,basic.4y,0
268,1311,54,106,47654,48975,management,divorced,university.degree,0
269,1312,45,137,328,18083,admin.,single,university.degree,3
270,1313,36,108,67628,14834,admin.,married,high.school,0
271,1314,22,114,1154,17829,blue-collar,married,professional.course,1
272,1315,33,132,2329,15966,management,married,university.degree,1
273,1316,40,105,838,23372,admin.,single,basic.9y,2
274,1317,33,364,57097,47741,admin.,divorced,high.school,0
275,1318,21,128,151,15544,retired,married,basic.6y,1
276,1319,32,105,1637,14574,blue-collar,married,basic.9y,1
277,1320,33,86,1428,23498,services,married,high.school,1
278,1321,30,99,3115,12959,management,single,basic.9y,2
279,1322,45,99,1922,17151,admin.,single,basic.6y,2
280,1324,42,63,3825,17581,services,married,basic.6y,1
281,1325,30,42,3610,14540,technician,married,professional.course,1
282,1326,40,111,58637,20390,housemaid,single,professional.course,0
283,1327,26,231,48849,26442,admin.,single,university.degree,0
284,1328,23,105,2141,14630,admin.,married,high.school,1
285,1329,27,71,1627,13377,blue-collar,married,basic.9y,1
286,1330,36,669,56302,14633,admin.,married,high.school,0
287,1331,41,121,3497,23352,services,single,high.school,2
288,1332,36,121,45045,13958,blue-collar,married,basic.9y,0
289,1333,35,174,50086,48489,management,married,high.school,0
290,1334,50,88,61118,37634,self-employed,single,university.degree,0
291,1335,46,313,45682,34672,services,married,high.school,0
292,1336,36,46,3297,20884,entrepreneur,married,high.school,1
293,1337,42,152,62837,49453,technician,single,professional.course,0
294,1338,32,136,171,19419,blue-collar,single,high.school,2
295,1339,55,221,69195,22113,blue-collar,married,basic.9y,0
296,1340,27,29,1099,16049,management,married,university.degree,1
297,1341,43,83,967,11217,management,married,professional.course,1
298,1342,32,158,56565,24549,services,single,high.school,0
299,1343,45,120,1477,17391,admin.,married,basic.9y,1
300,1345,58,254,44937,35705,blue-collar,divorced,basic.4y,0
301,1346,52,503,45834,34574,technician,married,high.school,0
302,1347,50,680,49440,33653,services,divorced,professional.course,0
303,1348,41,421,42043,43025,blue-collar,single,basic.9y,0
304,1349,33,130,58545,32352,entrepreneur,married,university.degree,0
305,1350,33,55,2783,16636,blue-collar,married,basic.4y,1
306,1351,44,94,1266,17430,blue-collar,married,basic.6y,1
307,1352,25,140,3474,24602,technician,married,professional.course,1
308,1353,37,95,3948,23296,management,married,university.degree,1
309,1354,38,347,46492,7659,services,married,high.school,0
310,1355,53,208,59121,28120,admin.,married,university.degree,0
311,1356,43,404,58120,37532,unemployed,single,university.degree,0
312,1357,22,29,2580,24313,blue-collar,single,high.school,2
313,1358,28,131,3067,11440,blue-collar,married,basic.9y,1
314,1359,36,102,2588,17012,services,married,basic.4y,1
315,1360,58,350,46904,35523,entrepreneur,married,basic.4y,0
316,1361,40,88,41009,28699,unemployed,divorced,high.school,0
317,1362,57,379,49266,25304,management,married,university.degree,0
318,1363,35,26,266,19220,technician,married,high.school,1
319,1364,28,27,3304,17175,blue-collar,married,basic.4y,1
320,1365,39,98,1162,11528,admin.,married,university.degree,1
321,1366,36,210,45188,5483,technician,married,university.degree,0
322,1367,25,73,1961,18646,self-employed,married,high.school,1
323,1368,57,306,58832,34032,admin.,divorced,basic.9y,0
324,1369,24,40,3019,23042,blue-collar,married,basic.9y,1
325,1370,21,36,3444,14308,management,divorced,high.school,4
326,1371,37,77,53258,46129,blue-collar,married,basic.9y,0
327,1372,37,54,58500,9390,blue-collar,married,basic.9y,0
328,1373,25,54,1478,21203,admin.,single,high.school,2
329,1374,21,79,1151,24626,blue-collar,single,basic.9y,2
330,1375,43,202,63185,40259,services,married,high.school,0
331,1377,41,278,47794,36740,technician,married,basic.6y,0
332,1378,38,189,51526,26233,admin.,single,university.degree,0
333,1379,33,83,60361,23685,admin.,married,basic.9y,0
334,1380,49,18,43960,31233,admin.,married,university.degree,0
335,1382,43,25,3360,22603,admin.,married,basic.9y,1
336,1383,37,88,2667,18638,management,single,university.degree,3
337,1385,37,51,28,16799,management,married,basic.4y,1
338,1386,35,101,25,22738,management,married,basic.4y,1
339,1387,41,402,50037,46281,self-employed,married,university.degree,0
340,1388,48,501,51721,32753,housemaid,married,basic.6y,0
341,1390,44,1030,49417,31300,services,married,high.school,0
342,1392,50,149,68321,11412,management,married,high.school,0
343,1393,35,144,62590,25425,admin.,married,university.degree,0
344,1394,36,67,2342,12871,admin.,married,high.school,1
345,1395,45,243,60217,26465,admin.,married,basic.9y,0
346,1396,36,769,69271,7511,technician,married,professional.course,0
347,1397,56,135,61773,14195,services,married,high.school,0
348,1398,29,231,47033,46396,blue-collar,divorced,basic.4y,0
349,1399,41,442,67194,34380,self-employed,married,university.degree,0
350,1400,41,50,2102,22727,blue-collar,married,basic.9y,1
351,1401,29,56,1378,12125,services,single,high.school,2
352,1402,24,57,1610,15065,services,married,high.school,1
353,1403,31,124,53818,46208,blue-collar,married,high.school,0
354,1404,25,61,3109,18851,unemployed,married,university.degree,1
355,1405,36,43,45966,25680,blue-collar,married,basic.4y,0
356,1406,38,98,2689,21629,entrepreneur,married,university.degree,1
357,1407,52,393,53483,47789,services,divorced,basic.6y,0
358,1408,39,203,40180,24743,admin.,married,high.school,0
359,1409,24,88,459,18566,services,married,high.school,1
360,1410,42,326,56302,9059,blue-collar,married,basic.9y,0
361,1411,43,54,3716,21781,admin.,married,high.school,1
362,1412,55,259,51385,46467,technician,married,basic.4y,0
363,1413,30,227,41200,23783,blue-collar,married,basic.9y,0
364,1415,45,576,69488,6940,entrepreneur,married,basic.4y,0
365,1416,44,150,2291,16804,blue-collar,married,basic.4y,1
366,1417,39,90,45701,5022,self-employed,single,basic.9y,0
367,1418,29,49,1218,15822,admin.,married,high.school,1
368,1419,27,245,64873,41612,services,married,high.school,0
369,1420,34,186,64485,28254,technician,single,university.degree,0
370,1421,45,55,2298,23024,blue-collar,married,basic.4y,1
371,1422,29,117,2800,24353,entrepreneur,married,basic.4y,1
372,1423,39,80,3271,23278,blue-collar,married,basic.4y,1
373,1424,23,124,2355,23831,management,married,university.degree,1
374,1425,26,120,1098,24701,blue-collar,married,basic.4y,1
375,1426,49,102,50645,29350,blue-collar,married,basic.9y,0
376,1427,58,342,47019,12579,management,married,basic.6y,0
377,1428,26,121,2727,19774,technician,married,professional.course,1
378,1430,31,276,41861,6914,services,married,high.school,0
379,1431,28,124,3158,17253,self-employed,divorced,university.degree,4
380,1432,37,81,3035,20806,self-employed,married,basic.9y,1
381,1433,32,122,3967,14510,self-employed,single,university.degree,3
382,1434,27,271,50770,47351,services,single,professional.course,0
383,1436,27,53,697,20885,technician,married,professional.course,1
384,1437,42,116,1706,11157,housemaid,married,basic.9y,1
385,1438,21,101,1297,21178,blue-collar,married,professional.course,1
386,1439,27,65,1680,12859,admin.,divorced,university.degree,4
387,1441,43,76,2704,16294,technician,married,professional.course,1
388,1442,29,34,3809,14496,housemaid,married,university.degree,1
389,1443,35,92,192,20047,blue-collar,divorced,basic.9y,4
390,1444,23,46,1505,14883,management,married,university.degree,1
391,1445,34,175,65307,11949,admin.,married,basic.9y,0
392,1447,23,145,154,13249,technician,married,professional.course,1
393,1448,57,50,43679,31435,technician,married,basic.4y,0
394,1449,44,86,2085,21098,technician,married,basic.4y,1
395,1450,38,144,43960,35843,blue-collar,married,basic.4y,0
396,1451,36,46,279,24824,technician,married,basic.4y,1
397,1452,45,56,1458,20383,student,single,basic.9y,2
398,1453,60,451,60676,21246,management,married,university.degree,0
399,1454,48,159,62711,9506,admin.,married,university.degree,0
400,1455,25,32,3685,13828,technician,married,professional.course,1
401,1456,40,243,52002,11378,admin.,married,high.school,0
402,1457,43,41,3552,18858,management,married,professional.course,1
403,1458,48,112,54213,21727,unemployed,single,basic.4y,0
404,1459,42,105,1211,24974,housemaid,married,basic.4y,1
405,1460,38,41,2437,21675,blue-collar,married,basic.6y,1
406,1461,37,103,1352,23026,admin.,single,basic.9y,2
407,1462,42,204,41341,24027,technician,divorced,high.school,0
408,1463,27,54,3036,14057,self-employed,married,university.degree,1
409,1464,35,113,2783,20757,blue-collar,single,basic.9y,2
410,1465,32,162,64494,32861,services,married,high.school,0
411,1466,44,177,61906,25452,admin.,married,high.school,0
412,1467,21,40,1334,14713,management,married,basic.6y,1
413,1468,57,699,63728,39003,management,married,professional.course,0
414,1469,26,49,63,18868,admin.,married,basic.4y,1
415,1470,42,1677,59653,32422,management,married,university.degree,0
416,1471,33,109,249,17241,technician,single,professional.course,3
417,1472,45,68,3395,18305,management,married,professional.course,1
418,1473,31,47,57615,46143,admin.,divorced,high.school,0
419,1474,31,65,3310,20498,admin.,married,university.degree,1
420,1475,35,40,1344,12304,blue-collar,divorced,basic.4y,4
421,1476,29,90,2790,14420,blue-collar,married,basic.9y,1
422,1478,35,99,1706,18680,blue-collar,married,basic.4y,1
423,1479,57,116,43498,40372,retired,married,university.degree,0
424,1481,37,264,69507,17921,technician,single,high.school,0
425,1482,38,169,68147,41065,services,married,high.school,0
426,1483,42,145,53413,28063,retired,married,basic.4y,0
427,1485,54,381,50257,43579,management,married,basic.6y,0
428,1486,28,34,60,19994,admin.,married,university.degree,1
429,1487,44,87,3822,23237,admin.,single,university.degree,3
430,1488,35,278,46385,44380,technician,married,professional.course,0
431,1489,45,188,54656,31629,housemaid,married,professional.course,0
432,1491,38,84,3280,12235,technician,married,university.degree,1
433,1492,41,111,42672,33368,unemployed,married,basic.9y,0
434,1493,41,157,68781,34931,services,married,basic.9y,0
435,1494,31,117,319,17051,blue-collar,married,basic.9y,1
436,1495,32,49,61556,34627,admin.,single,university.degree,0
437,1496,32,80,1075,12662,services,married,high.school,1
438,1497,38,349,39988,6054,technician,married,professional.course,0
439,1498,35,325,43036,46273,admin.,divorced,university.degree,0
440,1499,53,233,43259,42450,admin.,married,professional.course,0
441,1500,32,143,2230,20585,admin.,married,basic.6y,1
442,1501,33,110,2168,17634,entrepreneur,married,university.degree,1
443,1502,33,80,53541,48886,admin.,married,basic.9y,0
444,1503,33,71,1476,21150,admin.,married,basic.9y,1
445,1504,24,105,2330,18664,services,divorced,high.school,4
446,1505,39,918,62950,35175,services,married,high.school,0
447,1506,37,67,79,18307,entrepreneur,married,university.degree,1
448,1507,40,198,62414,16746,technician,single,university.degree,0
449,1509,36,45,1900,13205,technician,married,university.degree,1
450,1510,47,269,43660,12457,blue-collar,married,high.school,0
451,1511,42,28,3672,19792,blue-collar,married,basic.4y,1
452,1512,25,125,36,11063,entrepreneur,married,high.school,1
453,1513,37,211,63563,38229,management,married,university.degree,0
454,1514,50,369,68534,32936,services,married,basic.9y,0
455,1515,35,135,2671,11861,entrepreneur,married,high.school,1
456,1517,45,48,2163,20322,housemaid,single,basic.4y,2
457,1518,35,39,3627,11994,blue-collar,married,basic.4y,1
458,1521,40,36,1248,19451,management,married,basic.9y,1
459,1522,43,94,1958,18469,blue-collar,married,basic.9y,1
460,1523,39,158,41077,6030,blue-collar,married,basic.6y,0
461,1524,45,148,1931,17127,blue-collar,married,basic.6y,1
462,1525,38,145,43128,9439,admin.,married,high.school,0
463,1527,30,102,47123,23073,services,single,high.school,0
464,1528,38,179,61145,15517,admin.,divorced,high.school,0
465,1529,39,73,59011,9545,technician,divorced,university.degree,0
466,1530,36,133,948,19911,admin.,married,high.school,1
467,1531,36,342,44245,7069,admin.,married,high.school,0
468,1532,44,50,2207,11697,services,married,high.school,1
469,1533,41,13,64984,38886,blue-collar,married,basic.6y,0
470,1534,35,79,64852,24350,blue-collar,married,basic.9y,0
471,1535,41,358,67801,22797,technician,married,high.school,0
472,1536,21,150,1644,21836,services,married,high.school,1
473,1537,35,150,54833,17774,admin.,single,high.school,0
474,1538,43,112,2419,20781,blue-collar,single,basic.4y,2
475,1539,21,34,383,24078,admin.,single,basic.6y,2
476,1540,33,792,68775,45526,self-employed,married,university.degree,0
477,1542,42,64,1217,11205,blue-collar,single,basic.9y,2
478,1543,38,146,3073,24885,technician,married,professional.course,1
479,1544,34,108,1405,15088,entrepreneur,single,university.degree,3
480,1545,30,123,49906,16331,self-employed,single,high.school,0
481,1546,35,133,3901,21599,admin.,married,professional.course,1
482,1547,45,40,3168,23171,admin.,married,university.degree,1
483,1548,35,259,41835,32759,admin.,divorced,high.school,0
484,1549,34,26,51919,21258,admin.,single,university.degree,0
485,1550,50,153,50518,27341,blue-collar,married,basic.4y,0
486,1551,36,139,814,21264,admin.,single,university.degree,3
487,1552,41,122,3334,21523,blue-collar,married,basic.9y,1
488,1553,42,179,49365,8737,entrepreneur,married,basic.6y,0
489,1554,57,383,63497,6222,retired,married,university.degree,0
490,1555,45,440,52216,36110,blue-collar,married,basic.4y,0
