Age,duration,Min_balance,spend_per_month
35,217,44759,44549
35,67,69628,38706
36,291,58884,20860
30,121,246,22220
41,100,380,21205
55,286,51030,13047
40,65,1310,16795
24,132,122,18462
35,34,2748,17115
39,381,60565,16689
30,251,42124,34001
31,33,1134,11764
50,287,64503,32651
40,322,64170,10623
35,216,63364,45554
43,366,61273,44663
38,146,3983,12909
46,288,49013,21109
40,168,54748,17373
31,25,1139,16565
42,64,47502,18792
41,42,2253,20093
21,86,961,22173
32,105,2792,11042
39,580,42322,13754
50,165,50939,8530
43,106,2795,19705
23,100,541,22580
52,175,59421,13692
26,149,1954,21494
56,136,61440,26909
21,91,183,24593
33,189,48051,8028
43,213,45600,46017
57,238,46856,44008
36,124,62309,25814
39,78,2950,13914
34,730,52800,30875
30,40,41863,41473
33,181,56044,15272
35,105,17,11970
36,142,56867,14637
36,389,41751,25800
33,702,46810,13256
34,138,2585,23262
26,29,1528,11440
51,117,40983,23531
33,104,495,23538
37,96,3067,18411
53,370,67135,30661
34,85,2863,24933
45,46,61149,15309
43,200,58663,38546
26,98,1685,21925
43,138,1040,24159
27,119,45014,22071
27,25,3773,15353
43,73,61168,20754
42,67,48984,34991
27,350,46526,17214
34,150,56990,19628
39,103,70,21492
54,611,52756,15628
21,47,2672,18609
35,93,2715,23639
43,105,856,12116
49,152,49958,18814
32,611,63475,33716
49,110,61045,41020
50,463,46174,9066
39,84,3894,20256
55,102,62710,33762
47,10,43685,10827
31,106,2892,18825
39,59,1535,12415
56,143,40398,43496
53,189,61132,19078
44,57,2161,22037
42,189,62597,14910
40,96,3324,14229
30,74,3439,11767
35,71,51,19781
60,5,51811,28465
36,225,47321,10603
42,125,67422,8184
31,286,45666,10091
53,206,61616,45388
25,58,2841,15418
37,98,61227,12397
29,71,1462,19551
41,145,1421,18517
22,60,738,23042
30,39,2002,21049
34,107,3309,14652
32,149,319,12507
45,122,1387,18967
36,28,2743,11157
28,134,2088,16885
40,104,2155,13071
40,215,52538,27815
46,209,61998,21506
42,63,3615,18906
21,45,1578,12500
41,83,47380,31827
54,106,47654,48975
45,137,328,18083
36,108,67628,14834
22,114,1154,17829
33,132,2329,15966
40,105,838,23372
33,364,57097,47741
21,128,151,15544
32,105,1637,14574
33,86,1428,23498
30,99,3115,12959
45,99,1922,17151
42,230,54310,35776
42,63,3825,17581
30,42,3610,14540
40,111,58637,20390
26,231,48849,26442
23,105,2141,14630
27,71,1627,13377
36,669,56302,14633
41,121,3497,23352
36,121,45045,13958
35,174,50086,48489
50,88,61118,37634
46,313,45682,34672
36,46,3297,20884
42,152,62837,49453
32,136,171,19419
55,221,69195,22113
27,29,1099,16049
43,83,967,11217
32,158,56565,24549
45,120,1477,17391
45,31,2626,18586
58,254,44937,35705
52,503,45834,34574
50,680,49440,33653
41,421,42043,43025
33,130,58545,32352
33,55,2783,16636
44,94,1266,17430
25,140,3474,24602
37,95,3948,23296
38,347,46492,7659
53,208,59121,28120
43,404,58120,37532
22,29,2580,24313
28,131,3067,11440
36,102,2588,17012
58,350,46904,35523
40,88,41009,28699
57,379,49266,25304
35,26,266,19220
28,27,3304,17175
39,98,1162,11528
36,210,45188,5483
25,73,1961,18646
57,306,58832,34032
24,40,3019,23042
21,36,3444,14308
37,77,53258,46129
37,54,58500,9390
25,54,1478,21203
21,79,1151,24626
43,202,63185,40259
43,98,1101,18280
41,278,47794,36740
38,189,51526,26233
33,83,60361,23685
49,18,43960,31233
31,143,1914,18972
43,25,3360,22603
37,88,2667,18638
34,44,2664,18861
37,51,28,16799
35,101,25,22738
41,402,50037,46281
48,501,51721,32753
28,1201,61102,8049
44,1030,49417,31300
30,33,2135,15955
50,149,68321,11412
35,144,62590,25425
36,67,2342,12871
45,243,60217,26465
36,769,69271,7511
56,135,61773,14195
29,231,47033,46396
41,442,67194,34380
41,50,2102,22727
29,56,1378,12125
24,57,1610,15065
31,124,53818,46208
25,61,3109,18851
36,43,45966,25680
38,98,2689,21629
52,393,53483,47789
39,203,40180,24743
24,88,459,18566
42,326,56302,9059
43,54,3716,21781
55,259,51385,46467
30,227,41200,23783
57,673,50553,30261
45,576,69488,6940
44,150,2291,16804
39,90,45701,5022
29,49,1218,15822
27,245,64873,41612
34,186,64485,28254
45,55,2298,23024
29,117,2800,24353
39,80,3271,23278
23,124,2355,23831
26,120,1098,24701
49,102,50645,29350
58,342,47019,12579
26,121,2727,19774
29,116,2712,19451
31,276,41861,6914
28,124,3158,17253
37,81,3035,20806
32,122,3967,14510
27,271,50770,47351
51,141,55873,9191
27,53,697,20885
42,116,1706,11157
21,101,1297,21178
27,65,1680,12859
46,149,43121,38973
43,76,2704,16294
29,34,3809,14496
35,92,192,20047
23,46,1505,14883
34,175,65307,11949
28,98,3294,22057
23,145,154,13249
57,50,43679,31435
44,86,2085,21098
38,144,43960,35843
36,46,279,24824
45,56,1458,20383
60,451,60676,21246
48,159,62711,9506
25,32,3685,13828
40,243,52002,11378
43,41,3552,18858
48,112,54213,21727
42,105,1211,24974
38,41,2437,21675
37,103,1352,23026
42,204,41341,24027
27,54,3036,14057
35,113,2783,20757
32,162,64494,32861
44,177,61906,25452
21,40,1334,14713
57,699,63728,39003
26,49,63,18868
42,1677,59653,32422
33,109,249,17241
45,68,3395,18305
31,47,57615,46143
31,65,3310,20498
35,40,1344,12304
29,90,2790,14420
59,113,42201,29491
35,99,1706,18680
57,116,43498,40372
29,35,1437,24431
37,264,69507,17921
38,169,68147,41065
42,145,53413,28063
44,125,1672,14731
54,381,50257,43579
28,34,60,19994
44,87,3822,23237
35,278,46385,44380
45,188,54656,31629
24,137,597,18751
38,84,3280,12235
41,111,42672,33368
41,157,68781,34931
31,117,319,17051
32,49,61556,34627
32,80,1075,12662
38,349,39988,6054
35,325,43036,46273
53,233,43259,42450
32,143,2230,20585
33,110,2168,17634
33,80,53541,48886
33,71,1476,21150
24,105,2330,18664
39,918,62950,35175
37,67,79,18307
40,198,62414,16746
38,125,2490,14439
36,45,1900,13205
47,269,43660,12457
42,28,3672,19792
25,125,36,11063
37,211,63563,38229
50,369,68534,32936
35,135,2671,11861
32,267,58069,23086
45,48,2163,20322
35,39,3627,11994
42,288,63398,23486
35,28,346,22620
40,36,1248,19451
43,94,1958,18469
39,158,41077,6030
45,148,1931,17127
38,145,43128,9439
42,147,1858,17609
30,102,47123,23073
38,179,61145,15517
39,73,59011,9545
36,133,948,19911
36,342,44245,7069
44,50,2207,11697
41,13,64984,38886
35,79,64852,24350
41,358,67801,22797
21,150,1644,21836
35,150,54833,17774
43,112,2419,20781
21,34,383,24078
33,792,68775,45526
45,84,2308,12361
42,64,1217,11205
38,146,3073,24885
34,108,1405,15088
30,123,49906,16331
35,133,3901,21599
45,40,3168,23171
35,259,41835,32759
34,26,51919,21258
50,153,50518,27341
36,139,814,21264
41,122,3334,21523
42,179,49365,8737
57,383,63497,6222
45,440,52216,36110
38,144,435,19724
42,111,561,21643
40,217,62347,36726
44,148,1319,17098
38,105,3075,15143
41,189,52597,45863
39,502,42582,45314
41,260,66460,25101
45,209,43778,49832
35,91,194,11768
39,129,3096,14710
49,69,51788,21861
36,105,44967,46606
23,97,2365,19311
43,87,66061,34572
49,524,45640,46038
36,155,51306,47396
51,162,51346,5116
43,47,614,18663
43,108,1936,18649
42,695,66200,34589
33,44,3420,20523
32,535,44505,37783
46,310,59309,32716
29,148,1244,12599
24,112,1599,11216
39,77,47,18252
45,79,45802,14070
31,135,1084,19388
25,26,126,15034
21,105,2274,17319
37,39,1347,22529
59,424,58322,22439
45,135,55398,47384
54,36,41968,17666
32,1906,67112,28612
33,219,64132,29637
32,135,43882,47874
34,147,65483,37692
46,407,67938,34664
26,29,2031,17225
29,73,1388,16913
48,92,50652,49938
45,148,253,16022
24,33,2476,14773
32,120,2446,21168
45,121,3149,17536
47,285,47758,18545
31,231,43957,10008
32,278,41509,42437
32,389,66342,49982
43,145,2004,19552
53,78,47584,13393
37,258,64342,5424
33,95,2033,19466
46,147,41718,18953
41,635,52378,39704
45,127,2673,20264
51,170,53861,34238
38,802,69656,14149
25,98,1402,18240
39,218,63927,28429
41,89,1783,24695
27,147,2775,21611
31,41,3611,18043
24,119,3090,16731
40,135,51,18287
35,262,44780,46614
43,147,3860,17855
28,39,1825,24140
46,145,65412,9756
30,252,42255,45952
35,329,44680,40554
31,111,2398,16999
30,94,2952,23900
34,116,52176,38795
27,138,219,14386
38,532,41034,48984
25,119,3773,14522
29,50,1665,24171
45,37,48887,21102
36,132,67240,34573
32,530,52083,29039
35,175,62826,22514
25,90,2507,17039
49,524,64127,35550
29,29,44051,21656
34,311,51888,49702
21,77,2620,12642
36,211,50404,43656
42,96,3896,23859
33,392,53289,37894
28,139,1392,22985
36,284,57232,49742
33,92,81,19983
23,114,326,23384
32,226,48528,27311
50,507,50637,27223
22,119,1531,24394
29,71,3281,17657
33,322,57352,24429
33,202,49266,6517
40,125,3504,15881
26,76,1817,14322
33,739,47904,40352
25,127,96,16146
42,339,58937,48153
43,262,47953,8064
35,308,56397,49477
30,138,961,15017
27,245,53106,39867
47,160,50638,18395
31,63,547,16642
32,477,57513,43754
38,100,596,13796
56,191,68160,44688
48,196,69322,43283
44,221,40716,33501
38,91,2076,14146
45,178,54527,34047
34,35,1082,14866
38,115,644,22455
56,75,52740,21773
38,119,2387,19002
39,378,66224,6960
48,118,50379,45586
30,129,2968,11397
36,346,54522,43763
49,107,49989,32315
46,60,66182,16831
28,119,2061,21072
50,176,58052,13200
27,390,47086,20223
40,251,42198,22429
46,716,51236,24794
40,189,61125,43101
33,125,49141,10897
54,234,65073,21197
52,79,43228,8842
26,138,1830,17329
49,296,58500,41391
41,33,1207,24432
49,283,61976,27847
40,109,55393,13161
59,132,47143,26456
51,144,61560,29991
28,114,307,24088
38,95,42021,7053
33,147,3838,18524
26,112,68310,38411
41,66,246,23027
51,87,69639,36486
43,593,41456,47118
42,99,58063,35342
43,137,1813,12624
36,285,40133,30172
42,66,1062,20806
37,64,77,13826
27,125,615,12121
43,174,46865,16930
44,60,331,21033
45,152,61515,36536
42,148,1504,19124
31,54,3971,17436
45,128,3963,23420
42,254,60770,36143
43,68,3204,17960
43,147,58476,40824
34,800,40483,9481
28,140,3853,11951
44,41,3841,24709
38,112,64920,13221
26,147,3256,24125
21,93,568,19220
24,421,55692,13403
45,130,1858,11860
25,65,2594,11077
37,32,2841,12403
45,92,1526,16778
41,160,47856,32015
49,42,69188,29474
26,40,1640,21321
49,157,50131,37979
21,38,3285,20921
27,73,2040,17300
48,233,48361,20267
35,37,1649,15698
31,133,1546,21106
44,139,46916,49555
43,46,3474,24618
45,140,1775,21009
38,206,50820,41983
43,38,471,17177
21,136,1915,15680
27,124,2178,11916
30,126,57067,48674
23,102,1725,13882
24,100,2880,17278
42,147,2886,12877
29,41,2906,11764
21,66,2311,13946
44,91,3532,17206
44,105,1191,19173
37,148,56285,30556
38,56,2678,18988
43,85,735,12345
30,112,446,17313
37,124,58817,8409
30,118,69085,9555
34,51,40,18060
33,150,2500,24328
28,116,1777,16762
44,202,56891,44321
38,162,62461,10003
30,216,48045,10849
37,195,66291,10269
43,120,110,15621
44,48,495,13370
43,720,69323,36606
21,72,1280,24058
40,108,2071,20079
38,70,57573,44689
36,80,3506,18542
25,138,1491,14016
42,36,1214,12998
32,116,1759,23554
30,502,69464,18885
30,72,1420,17930
31,92,3813,12423
35,198,48960,23280
50,312,68368,28017
38,275,62604,48332
39,148,3154,15863
50,333,68824,14358
45,68,853,20342
33,150,44738,31048
40,65,553,14071
31,296,50682,24089
40,128,44190,43165
28,298,45589,15793
43,129,2845,13999
44,292,46341,11972
38,215,45180,5630
23,81,2034,16421
39,32,48717,5095
22,86,1699,17317
39,150,2668,13667
28,136,1592,16713
42,232,69907,45707
38,60,1358,16827
35,104,51164,20124
27,59,2455,11915
32,37,2811,21090
24,148,1411,18701
26,99,1132,16447
21,105,396,12751
39,193,46503,46134
43,294,64056,25396
31,101,478,14081
52,124,60208,24546
39,143,49124,39601
44,231,52138,20329
36,128,53347,19162
41,125,495,19104
27,105,59303,49158
31,992,52546,8008
44,120,3021,22749
45,25,3394,15484
31,254,51203,36180
30,96,1697,23111
52,133,66384,26114
22,107,1013,13241
33,117,1965,17194
40,116,507,15770
27,30,117,11138
28,38,2081,23871
22,52,1254,21508
30,46,488,15240
53,149,45311,7087
29,118,1531,23960
40,82,84,14129
51,359,56740,21149
41,112,55334,24906
43,274,47553,29183
31,325,62384,29862
33,106,907,18243
38,216,49225,49860
39,30,1261,18032
28,64,225,21111
44,800,54887,30505
34,65,810,11368
28,39,1038,24340
23,67,2653,20330
43,102,2736,19596
57,236,40393,11611
31,86,610,15220
31,109,53992,24652
40,131,2467,11056
44,150,794,14878
45,83,66560,37996
38,241,59373,16054
32,44,250,12342
47,131,64367,30530
35,67,2076,22298
35,125,55950,41435
40,295,56912,34162
40,51,3263,13242
34,109,65893,46584
48,140,45828,40215
38,145,483,17158
40,66,855,15773
40,114,3420,24721
43,255,65933,36535
24,89,239,11464
33,55,3440,14829
22,125,2481,20446
45,39,835,11238
40,139,2927,18017
45,88,760,22092
44,83,2144,15476
44,344,40097,16493
32,46,2631,24207
43,55,42,18966
25,91,2268,21408
48,243,64337,6569
31,260,53093,48739
27,164,60909,24652
43,255,60749,49221
47,47,46437,7516
21,127,886,18764
43,463,46710,25577
42,134,607,17329
37,48,3699,16295
39,55,433,17892
28,86,1368,24706
41,143,339,22655
39,104,53977,32184
21,106,3850,18719
39,448,61494,34583
38,127,66364,42014
44,378,69647,29721
44,123,3457,18955
37,221,56781,38064
32,150,58727,17364
35,33,1666,12546
34,296,41206,23106
52,161,49135,25398
46,401,58184,6329
57,435,56111,39914
32,113,3825,19419
32,245,50965,46623
23,49,3882,20818
46,423,44131,20399
59,231,60984,6991
38,181,51294,26362
37,113,2029,17858
40,227,58414,16188
46,69,40675,6740
44,108,461,20998
35,35,3983,14944
47,127,67944,49099
35,45,69242,26949
48,120,60588,5037
40,115,284,12385
32,180,58072,38024
27,47,3109,11916
24,125,2948,18222
45,246,54879,48783
28,72,3806,23642
51,223,51984,49751
38,566,66067,36800
44,33,3451,16116
49,49,64672,13872
41,31,3038,22205
35,50,2304,24237
54,421,57746,43026
29,511,51976,25476
31,121,41270,42274
35,157,59831,26952
38,101,54261,16621
54,328,57510,48344
35,30,3347,14032
38,140,2545,21553
32,229,44114,22793
34,154,64745,46081
49,56,60085,46319
44,199,66742,33477
42,117,44847,15514
55,1581,51591,7382
42,185,46332,35271
44,202,58684,24963
51,279,61542,48299
45,60,3095,18744
24,96,2462,23277
25,125,3833,17476
41,60,50733,43172
36,130,421,19866
41,516,55560,28028
30,121,1465,12463
43,122,162,11477
29,125,49173,38113
31,27,653,12692
43,396,44586,36844
31,33,3900,19365
44,171,58449,31116
29,614,57120,24869
58,118,56595,27094
48,485,44477,16575
46,406,68773,22341
31,287,66255,23944
47,216,65835,16121
34,41,943,22003
31,650,46028,34158
38,590,55419,34249
33,55,43564,33472
26,41,2356,11614
33,371,61305,23608
33,48,66932,40111
23,86,354,22162
55,55,53356,18503
32,106,3102,16891
33,123,3109,19475
36,91,1742,14921
34,40,3169,12103
34,95,173,13584
28,81,1159,12696
55,1101,49016,39582
45,229,65308,11897
48,236,57057,5649
38,142,133,24332
26,108,2023,19696
42,40,3401,16790
51,912,56833,44545
29,147,401,19010
54,485,56470,35382
45,206,64890,23692
39,239,66987,33576
28,47,3689,17446
39,362,57207,39672
26,84,3590,20484
32,163,65913,12979
39,150,3570,15654
59,329,62612,35362
36,129,1635,12708
30,143,52253,33304
34,214,65651,38476
40,43,517,18794
25,35,1792,22366
31,253,62170,35213
47,106,46175,35013
37,136,164,23495
42,70,741,20540
45,349,62110,7667
36,170,48530,11294
44,78,52707,22852
51,194,56243,23336
28,126,61362,22232
50,224,57190,49830
51,98,56895,22749
26,67,3235,19240
44,607,49270,42464
35,331,54295,17867
44,58,3800,13570
44,130,1182,14338
35,58,3940,17442
34,139,2056,20014
44,203,64951,32615
24,45,398,15202
40,238,46815,5235
45,51,1087,21120
44,481,44755,14736
37,119,56218,21797
35,97,667,14328
26,25,2326,13541
31,120,1538,12750
41,103,3077,24303
30,198,45108,15366
28,175,51124,47307
40,374,68043,13628
44,51,56408,37142
30,263,60832,30572
23,149,3371,15704
33,81,3842,16786
36,47,2664,18138
45,278,50453,37564
37,85,567,21322
38,140,2963,22298
35,24,44599,37446
41,79,46308,26127
42,169,51259,15939
42,332,49740,22041
32,54,2754,14075
48,353,42850,16137
38,116,1121,21939
47,441,67179,21641
34,46,54798,39337
44,266,60149,8420
52,222,44047,5328
22,36,3158,11066
49,105,55190,21407
45,126,3818,18603
44,228,62967,21713
37,128,63054,38531
47,550,69925,48545
36,48,25,11441
40,113,49152,36519
32,396,46127,7948
42,42,48628,39684
42,234,66439,21892
39,50,50877,16212
32,110,56523,26743
30,274,58071,48928
35,62,314,18941
35,305,40446,13862
30,101,1365,11662
40,112,65768,31755
35,69,3452,18124
57,283,61255,29574
51,353,48443,18308
43,139,1241,17921
25,60,1811,17947
60,283,61903,19325
29,1273,42139,49546
37,55,44,12180
31,98,3444,21458
54,62,49313,16601
37,30,2045,19389
26,76,3816,22229
33,161,60516,11529
30,117,2168,19925
42,89,65305,40949
53,591,62362,23277
51,113,52404,49296
36,92,3679,15955
34,102,779,17195
31,107,3227,12249
22,142,464,13213
42,124,1112,20896
42,103,69409,17314
40,253,41567,42438
27,60,1142,18243
45,164,57269,15850
51,244,43140,45483
22,70,2620,14420
30,125,405,24701
38,548,49167,41814
51,114,65622,33999
41,81,2038,14759
36,161,60956,48745
44,52,91,22786
34,155,69638,44937
41,152,44675,8279
26,127,1563,15930
29,85,3244,21662
33,123,52476,12569
46,74,64672,19725
31,118,3238,24047
30,275,56838,32215
34,984,68508,17551
44,95,1042,20403
58,84,60377,35598
29,27,66835,28097
44,88,2677,17245
53,489,48113,30960
22,35,3575,20184
34,159,56604,28636
29,32,233,13555
43,55,2983,17433
42,48,1668,19167
49,865,68125,31328
37,149,54213,33734
31,60,612,17970
34,122,44629,40369
31,41,3698,20149
45,944,49059,17562
45,33,342,22925
43,35,50819,15355
27,96,3108,23494
35,56,1314,18933
54,90,49691,33830
54,505,41616,7490
31,17,54882,14310
36,44,2579,23075
28,238,50123,13553
56,71,43716,20532
35,309,60701,47071
28,144,3565,12245
38,157,58717,19669
42,280,68390,36991
44,374,53376,21680
33,110,2305,15906
43,177,55695,13165
37,238,67843,28078
45,31,55111,33450
59,425,64679,30729
50,77,43568,46708
41,223,69326,22274
34,119,523,17874
29,44,177,12230
23,78,244,14247
23,109,2189,17915
58,162,48348,31815
34,112,1701,11724
40,148,1820,18147
25,125,45115,43125
39,211,42058,14548
36,84,3651,24305
43,67,45745,28145
43,196,67617,37223
33,342,44267,48167
52,156,47626,31124
28,51,1123,19313
53,178,42855,45843
41,142,49027,39758
48,194,63987,24919
35,55,1244,16242
43,91,2017,19733
53,109,55649,31438
22,88,615,13634
29,123,2807,20126
35,220,67857,8678
50,489,47224,30685
39,51,103,16809
43,63,2515,11909
43,100,2263,21327
39,328,43067,26996
31,50,941,23366
51,193,66863,9531
37,79,2116,24155
31,528,55813,34558
40,183,47995,27635
38,238,43806,42803
42,140,2323,23893
34,40,83,11565
46,541,41214,49179
49,41,65332,25106
40,70,1286,19381
30,114,1756,12619
26,52,281,21459
23,135,45,23260
32,145,3569,24816
34,136,1608,12693
38,221,49766,30743
48,604,51054,35943
21,132,2660,17694
27,92,3646,13430
34,380,67460,48829
36,11,47875,35219
41,184,57283,16926
40,405,58011,45728
30,124,2686,19286
42,106,542,19405
35,235,40135,20707
32,75,50584,9621
23,132,467,18807
35,66,1789,15954
28,462,58303,40664
30,80,54468,49645
37,73,1792,11661
53,418,45100,43683
30,92,1716,24502
22,81,2435,24415
51,39,62087,39485
47,231,65664,29734
40,66,56975,28750
31,27,2267,16376
22,89,3023,21367
33,62,154,22541
30,200,47712,42080
50,187,49116,18448
36,166,62182,8993
29,144,68217,14314
28,96,3005,24567
35,194,60144,39230
39,140,2044,13142
48,521,69595,42750
27,117,321,21183
44,285,69267,35195
32,1119,59991,28607
55,294,60550,24284
29,93,1253,12809
27,158,55203,11460
21,98,1753,17305
36,12,61134,40682
45,187,62540,30391
36,268,49224,18149
25,132,2279,18973
48,95,62607,40632
32,60,47337,42392
33,206,67370,23297
43,155,63781,41006
44,216,57336,20130
33,34,2867,20714
43,53,685,14204
43,219,52585,27219
32,147,69811,21911
43,190,58653,39122
40,339,52156,41139
24,198,40629,49536
32,141,54968,37095
40,45,428,19561
41,98,2746,18724
24,65,1295,12926
33,226,51241,30854
31,112,1153,16371
21,125,1611,16529
33,67,3616,11455
27,76,660,12162
30,162,40538,20646
36,81,65189,43138
22,131,1659,18623
33,70,1542,16510
21,96,599,15873
35,94,3769,12761
31,784,41257,5484
33,139,1478,12815
29,30,3458,17456
55,207,53513,37038
57,278,41367,29136
31,79,3167,15287
36,113,1478,17958
38,148,920,22595
24,287,44674,12347
32,137,3090,18254
21,71,2781,15831
42,191,40221,48085
38,96,3781,18783
32,93,53424,37921
51,665,42760,9995
26,25,785,22316
27,160,68603,32158
35,74,46437,13793
33,75,960,21258
32,87,800,22038
43,69,867,16302
22,74,2235,24553
29,127,1709,14324
37,140,63603,43563
37,110,58562,23170
36,64,46882,13484
49,149,54682,29650
35,156,54630,9976
37,97,1480,22827
35,50,1512,16385
42,712,53532,17641
39,338,57881,33328
39,56,1894,12192
39,77,3518,19505
22,47,3603,12641
42,106,3940,14790
39,1007,67330,16123
37,266,66115,7184
45,36,181,17946
32,175,61835,32670
26,121,888,15127
37,237,52354,24891
30,143,2304,15652
26,186,55880,21726
42,114,1620,16446
54,98,60083,43036
37,364,42806,6372
35,477,48068,33155
44,46,1629,19165
33,789,66841,30203
54,513,42562,25865
37,280,54013,14124
40,71,2043,14998
31,60,2794,11736
49,63,67489,40241
43,159,67427,42196
43,177,51986,13043
39,147,3874,16201
47,194,62427,33906
30,366,68539,42441
28,43,2707,12576
59,166,61585,41555
30,25,1073,12047
25,34,3729,13854
26,55,673,22136
30,180,50563,42033
41,103,1396,14348
42,352,42305,34478
40,137,51,22087
45,60,2114,22341
38,54,3454,24216
36,218,44740,34667
35,109,383,16663
43,39,1587,15788
28,208,60819,39767
30,177,64341,19038
27,29,189,16586
31,101,42892,47508
31,72,94,11973
41,133,144,19063
36,342,61104,23202
29,65,588,11540
54,108,67894,34061
33,178,54689,15877
41,40,2970,12642
40,33,3614,19618
44,47,2864,11772
33,61,2386,24771
25,250,56576,6929
41,161,43184,35656
38,131,1866,19209
43,110,1599,12893
26,51,2332,12765
34,26,64554,32228
22,142,3599,16303
38,135,4000,23441
25,150,1481,15463
36,147,43888,17134
27,1170,68182,29278
25,145,1443,24989
21,134,2572,13539
33,105,2887,13739
43,534,68170,45626
32,155,55024,7460
29,159,67988,49239
35,343,59850,23730
27,32,734,17918
35,461,56943,22869
38,55,2071,20619
36,90,54486,12462
48,314,46001,32031
25,112,226,15391
38,30,61987,34032
29,86,1128,21907
42,133,737,17611
42,252,53259,5134
42,81,2531,22134
30,369,41318,20185
45,116,59165,35488
35,52,863,16519
27,131,3259,14885
21,26,289,23278
29,149,68568,43312
34,210,43353,36068
41,35,3551,12122
33,234,55864,33509
31,47,1794,11698
31,2087,67931,17220
35,102,61660,40314
42,193,67833,19036
35,245,61321,5723
45,102,606,22058
33,78,3469,23367
44,127,2675,20853
44,131,3580,12738
29,32,807,20582
24,73,1943,14384
33,37,1441,15834
28,124,232,22510
28,77,63205,45495
38,60,2928,14431
30,130,2093,16525
28,376,59562,10093
31,453,53664,5380
